22/01/2014 22/01/2014, Iniciando monitor de actividad...
12/9/2014 7:33 PM, Error al generar ticket de entrada
12/9/2014 7:33 PM, Error al generar ticket de entrada
12/9/2014 7:33 PM, Error al generar ticket de entrada
12/9/2014 7:33 PM, Error al generar ticket de entrada
12/9/2014 7:33 PM, Error al generar ticket de entrada
12/18/2014 8:38 PM, Iniciando interfase de entrada - UI...
12/18/2014 8:38 PM, Error al generar ticket de entrada
12/18/2014 8:38 PM, Error al generar ticket de entrada
12/18/2014 8:38 PM, Error al generar ticket de entrada
12/18/2014 8:38 PM, Error al generar ticket de entrada
12/18/2014 8:38 PM, Error al generar ticket de entrada
12/18/2014 8:38 PM, Error al generar ticket de entrada
12/18/2014 8:38 PM, Error al generar ticket de entrada
12/18/2014 8:38 PM, Error al generar ticket de entrada
12/18/2014 8:38 PM, Error al generar ticket de entrada
12/18/2014 8:38 PM, Error al generar ticket de entrada
12/18/2014 8:38 PM, Error al generar ticket de entrada
12/18/2014 8:38 PM, Error al generar ticket de entrada
12/18/2014 8:38 PM, Error al generar ticket de entrada
12/18/2014 8:38 PM, Error al generar ticket de entrada
12/18/2014 8:38 PM, Error al generar ticket de entrada
12/18/2014 8:39 PM, Error al generar ticket de entrada
12/18/2014 8:39 PM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Iniciando interfase de entrada - UI...
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 9:59 AM, Error al generar ticket de entrada
12/21/2014 10:04 AM, Iniciando interfase de entrada - UI...
12/21/2014 10:04 AM, Error al generar ticket de entrada
12/21/2014 10:04 AM, Error al generar ticket de entrada
12/21/2014 10:04 AM, Error al generar ticket de entrada
12/21/2014 10:04 AM, Error al generar ticket de entrada
12/21/2014 10:04 AM, Error al generar ticket de entrada
12/21/2014 10:04 AM, Error al generar ticket de entrada
12/21/2014 10:04 AM, Error al generar ticket de entrada
12/21/2014 10:04 AM, Error al generar ticket de entrada
12/21/2014 10:04 AM, Error al generar ticket de entrada
12/21/2014 10:06 AM, Iniciando interfase de entrada - UI...
12/21/2014 10:06 AM, Error al generar ticket de entrada
12/21/2014 10:07 AM, Error al generar ticket de entrada
12/21/2014 10:13 AM, Iniciando interfase de entrada - UI...
12/21/2014 10:13 AM, Error al generar ticket de entrada
12/21/2014 10:13 AM, Error al generar ticket de entrada
12/21/2014 10:13 AM, Error al generar ticket de entrada
12/21/2014 10:14 AM, Iniciando interfase de entrada - UI...
12/21/2014 10:14 AM, Error al generar ticket de entrada
12/21/2014 10:15 AM, Iniciando interfase de entrada - UI...
12/21/2014 10:15 AM, Error al generar ticket de entrada
12/21/2014 10:15 AM, Error al generar ticket de entrada
12/21/2014 10:18 AM, Iniciando interfase de entrada - UI...
12/21/2014 10:18 AM, Error al generar ticket de entrada
12/21/2014 10:18 AM, Error al generar ticket de entrada
12/21/2014 10:59 AM, Iniciando interfase de entrada - UI...
12/21/2014 10:59 AM, Error al generar ticket de entrada
12/21/2014 10:59 AM, Iniciando interfase de entrada - UI...
12/21/2014 10:59 AM, Error al generar ticket de entrada
12/21/2014 10:59 AM, Error al generar ticket de entrada
12/21/2014 11:21 AM, Iniciando interfase de entrada - UI...
12/21/2014 11:22 AM, Error al generar ticket de entrada
12/21/2014 11:22 AM, Error al generar ticket de entrada
12/21/2014 11:22 AM, Error al generar ticket de entrada
12/21/2014 11:22 AM, Error al generar ticket de entrada
12/21/2014 11:22 AM, Error al generar ticket de entrada
12/21/2014 11:22 AM, Error al generar ticket de entrada
12/21/2014 11:23 AM, Iniciando interfase de entrada - UI...
12/21/2014 11:23 AM, Error al generar ticket de entrada
12/21/2014 11:36 AM, Iniciando interfase de entrada - UI...
12/21/2014 11:37 AM, Iniciando interfase de entrada - UI...
12/21/2014 11:37 AM, Error al generar ticket de entrada
12/21/2014 11:37 AM, Iniciando interfase de entrada - UI...
12/21/2014 11:37 AM, Error al generar ticket de entrada
12/21/2014 11:38 AM, Iniciando interfase de entrada - UI...
12/21/2014 11:39 AM, Error al generar ticket de entrada
12/21/2014 11:39 AM, Error al generar ticket de entrada
12/21/2014 11:39 AM, Error al generar ticket de entrada
12/21/2014 11:39 AM, Error al generar ticket de entrada
12/21/2014 11:39 AM, Error al generar ticket de entrada
12/21/2014 11:40 AM, Iniciando interfase de entrada - UI...
12/21/2014 11:40 AM, Error al generar ticket de entrada
12/21/2014 11:41 AM, Iniciando interfase de entrada - UI...
